"","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI"
"1",75.78,0.21,13.82,1.86,0.05,0.22,1,3.25,3.8,0.01,4.25
"2",77.71,0.12,12.47,1.11,0.04,0.23,0.77,3.64,3.91,0.01,4.68
"3",77.72,0.11,12.56,1.13,0.04,0.23,0.78,3.51,3.91,0.01,3.9
"4",77.7,0.12,12.56,1.1,0.04,0.22,0.79,3.56,3.91,0.01,4.4
"5",77.78,0.11,12.66,1.15,0.04,0.23,0.77,3.19,4.05,0.01,4.12
"6",77.88,0.11,12.57,1.12,0.04,0.23,0.76,3.17,4.1,0.01,4.09
"7",77.33,0.15,12.72,1.47,0.06,0.11,0.97,3.27,3.91,0.01,4.22
"8",77.63,0.15,12.45,1.43,0.04,0.1,0.9,3.41,3.88,0.01,4.37
"9",77.37,0.14,12.76,1.32,0.04,0.2,0.95,3.45,3.76,0.01,4.03
"10",77.13,0.17,12.85,1.65,0.04,0.11,1.01,3.28,3.74,0.01,4.05
"11",75.91,0.23,13.93,1.98,0.04,0.22,1.26,2.93,3.47,0.02,4.1
"12",76.11,0.22,13.62,1.89,0.04,0.24,1.25,3.12,3.5,0.01,4.73
"13",76.38,0.21,13.56,1.7,0.04,0.28,1.3,2.96,3.54,0.03,4.23
"14",76.37,0.22,13.48,1.67,0.04,0.27,1.24,3.15,3.53,0.02,4.17
"15",76.04,0.17,13.54,1.54,0.05,0.26,1.02,3.58,3.79,0.01,3.36
"16",75.68,0.17,13.72,1.58,0.05,0.27,1.04,3.64,3.84,0.01,3.28
"17",75.88,0.18,13.73,1.43,0.05,0.36,1.06,3.53,3.76,0.01,2.93
"18",76.97,0.14,12.88,1.24,0.05,0.27,0.89,3.58,3.96,0.01,1.67
"19",75.12,0.14,14.37,1.38,0.05,0.21,1.13,3.78,3.8,0.01,3.8
"20",75.66,0.17,13.88,1.52,0.05,0.26,1.09,3.65,3.71,0.01,4.04
"21",73.51,0.27,14.92,2.01,0.04,0.56,1.94,3.61,3.13,0.01,3.08
"22",71.15,0.34,16.63,2.47,0.06,0.6,2.02,3.58,3.13,0.01,3.21
"23",73.38,0.28,15.09,2.06,0.05,0.39,1.91,3.62,3.21,0.01,3.23
"24",71.8,0.34,16.05,2.51,0.06,0.54,2.03,3.5,3.16,0.01,3.73
"25",73.75,0.29,14.7,2.03,0.05,0.38,1.81,3.64,3.33,0.01,3.54
"26",71.73,0.33,16.1,2.39,0.05,0.45,2,3.63,3.31,0.01,3.84
"27",74.28,0.32,13.89,2.2,0.06,0.49,2.33,4.13,2.28,0.01,2.4
"28",73.19,0.3,14.57,2.21,0.06,0.53,2.55,4.15,2.43,0.01,4.03
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
